Team,bullet1,bullet2,bullet3,bullet4,bullet5,bullet6,bullet7,bullet8,bullet9,bullet10
DTC,Budget: $101.3M,FTE: 773,Key Subteams and Functions:,1.) Technical Program Management​,2.) Engineering Delivery & Operations​,3.) Engineering Operations​,4.) Consumer Experience​,5.) International OTT​,6.) Platform Engineering,
Data,Budget: $54.4M,FTE: 139,Key Subteams and Functions:,"1.) Analytics, Decisions & Data Sciences​",2.) Enterprise Data Solutions​,3.) Data Strategy & Privacy ,,,,
Consumer Sports and Digital Products,Budget: $91.5M,FTE: 595,Key Subteams and Functions:,1.) News Digital​,2.) Sports Digital​,3.) Entertainment Digital​,4.) Bleach Report​,5.) Digital Operations​,6.) Platform Technology,
Monetization & Workplace Tech,Budget: $36.3M,FTE: 182,Key Subteams and Functions:,1.) Monetization & Portfolio Mgmt​,"2.) Studio Facilities, CRE, Physical Security, Tours & Retail​","3.) Workplace Tech, Engineering & Datacenter​",4.) Global Workplace Services & Support​,"5.) Governance, Risk & Compliance Readiness;  Platform Assurance​",6.) Program / Project Management,
Content Tech and Operations,Budget: $100.8M,FTE: 1304,Key Subteams and Functions:,1.) Content Architecture and Engineering​,2.) Media Software Engineering​,3.) Technology Solutions​,4.) Global Operations,,,
Production Technology,Budget: $100M,FTE: 791,Key Subteams and Functions:,1.) Advanced Video​,2.) Program Management​,3.) Field Transport & International Production Technology​,4.) Production infrastructure Engineering​,5.) Digital Media Systems​,6.) Production Engineering​,7.) Emerging Production Tech & Data Services
Advertising Technology,Budget: $29.3M,FTE: 162,Key Subteams and Functions:,1.) Application Development,2.) Digital Ad Platforms​,3.) Tech Solutions (Ad Sales) ​,4.) Technology Leadership​,5.) Revenue Analytics​,6.) Strategy & Revenue Operations​,7.) Data Monetization Platform​
